year,n_months,n_obs,annual_mean,peak_month,peak_value,yoy_pct
2022,12,63,28.866666666666664,2,41.166666666666664,
2023,12,61,26.53611111111111,23,42.6,-8.073518090839094
2024,12,63,33.105555555555554,25,44.0,24.756620956767495
2025,12,58,36.952777777777776,47,46.4,11.621077361973487
2026,8,34,39.27291666666667,51,54.5,6.278658949109239
