year,n_months,n_obs,annual_mean,peak_value,peak_month,yoy_pct,yoy_basis
2025,12,13,2.2083333333333335,4.0,11,,
2026,8,8,2.625,5.0,2,31.2,نفس الأشهر (1-8)
